"rat" "reward" "trou" "session" "round" "choice"
20 2 10 1 1 "R"
20 -6 10 1 2 "R"
20 3 50 1 3 "A"
20 4 10 1 4 "R"
20 5 10 1 5 "R"
20 -3 40 1 6 "F"
20 3 50 1 7 "A"
20 -6 50 1 8 "A"
20 4 10 1 9 "R"
20 1 50 1 10 "A"
20 -12 50 1 11 "A"
20 1 50 1 12 "A"
20 3 50 1 13 "A"
20 -6 10 1 14 "R"
20 -6 50 1 15 "A"
20 -6 50 1 16 "A"
20 -12 50 1 17 "A"
20 -6 50 1 18 "A"
20 -6 10 1 19 "R"
20 4 10 1 20 "R"
20 -15 10 1 21 "R"
20 -6 50 1 22 "A"
20 -6 50 1 23 "A"
20 5 10 1 24 "R"
20 4 10 1 25 "R"
20 1 50 1 26 "A"
20 3 50 1 27 "A"
20 -6 10 1 28 "R"
20 1 50 1 29 "A"
20 1 50 1 30 "A"
20 -9 40 1 31 "F"
20 -6 50 1 32 "A"
20 3 50 1 33 "A"
20 -12 50 1 34 "A"
20 2 10 1 35 "R"
20 2 10 1 36 "R"
20 -12 50 1 37 "A"
20 -6 50 1 38 "A"
20 -12 50 1 39 "A"
20 2 10 1 40 "R"
20 -12 10 1 41 "R"
20 -6 10 1 42 "R"
20 -12 50 1 43 "A"
20 1 50 1 44 "A"
20 1 50 1 45 "A"
20 -6 50 1 46 "A"
20 -15 50 1 47 "A"
20 1 50 1 48 "A"
20 1 50 1 49 "A"
20 -6 50 1 50 "A"
20 -6 10 1 51 "R"
20 -12 50 1 52 "A"
20 4 10 1 53 "R"
20 -6 10 1 54 "R"
20 -12 50 1 55 "A"
20 -9 40 1 56 "F"
20 -12 50 1 57 "A"
20 1 50 1 58 "A"
20 -6 50 1 59 "A"
20 80 50 1 60 "A"
20 -6 50 1 61 "A"
20 -6 10 1 62 "R"
20 3 50 1 63 "A"
20 -6 50 1 64 "A"
20 3 50 1 65 "A"
20 1 50 1 66 "A"
20 -6 50 1 67 "A"
20 4 10 1 68 "R"
20 -12 50 1 69 "A"
20 1 50 1 70 "A"
20 3 50 1 71 "A"
20 -6 10 1 72 "R"
20 4 10 1 73 "R"
20 1 50 1 74 "A"
20 3 50 1 75 "A"
20 -9 20 1 76 "V"
20 -12 50 1 77 "A"
20 1 50 1 78 "A"
20 2 10 1 79 "R"
20 2 10 1 80 "R"
20 -12 50 1 81 "A"
20 -6 50 1 82 "A"
20 -12 10 1 83 "R"
20 -6 50 1 84 "A"
20 -12 10 1 85 "R"
20 -12 10 1 86 "R"
20 -6 50 1 87 "A"
20 4 10 1 88 "R"
20 5 10 1 89 "R"
20 1 50 1 90 "A"
20 1 50 1 91 "A"
20 -6 10 1 92 "R"
20 -12 50 1 93 "A"
20 2 10 1 94 "R"
20 1 50 1 95 "A"
20 -6 10 1 96 "R"
20 3 50 1 97 "A"
20 2 10 1 98 "R"
20 4 10 1 99 "R"
20 1 50 1 100 "A"
20 -15 10 1 101 "R"
20 1 50 1 102 "A"
20 3 50 1 103 "A"
20 -6 50 1 104 "A"
20 3 50 1 105 "A"
20 -6 50 1 106 "A"
20 -12 50 1 107 "A"
20 1 50 1 108 "A"
20 4 10 1 109 "R"
20 1 50 1 110 "A"
20 -6 50 1 111 "A"
20 -12 10 1 112 "R"
20 -6 50 1 113 "A"
20 -6 10 1 114 "R"
20 3 50 1 115 "A"
20 2 10 1 116 "R"
20 3 50 1 117 "A"
20 3 50 1 118 "A"
20 -12 10 1 119 "R"
20 1 50 1 120 "A"
20 3 50 1 121 "A"
20 -6 50 1 122 "A"
20 -9 40 1 123 "F"
20 -6 50 1 124 "A"
20 -36 40 1 125 "F"
20 -6 50 1 126 "A"
20 -6 50 1 127 "A"
20 -6 10 1 128 "R"
20 -3 40 1 129 "F"
20 2 10 1 130 "R"
20 3 50 1 131 "A"
20 -6 10 1 132 "R"
20 -6 50 1 133 "A"
20 -15 50 1 134 "A"
20 3 50 1 135 "A"
20 -9 20 2 1 "V"
20 -6 50 2 2 "A"
20 -9 20 2 3 "V"
20 1 50 2 4 "A"
20 4 10 2 5 "R"
20 2 10 2 6 "R"
20 -12 50 2 7 "A"
20 -9 20 2 8 "V"
20 2 10 2 9 "R"
20 -6 50 2 10 "A"
20 -6 50 2 11 "A"
20 -6 50 2 12 "A"
20 -15 10 2 13 "R"
20 1 50 2 14 "A"
20 -6 10 2 15 "R"
20 -3 40 2 16 "F"
20 -6 10 2 17 "R"
20 2 10 2 18 "R"
20 3 50 2 19 "A"
20 2 10 2 20 "R"
20 3 50 2 21 "A"
